    f         Sigma
33353823823.82 0.00047500
33388848848.85 0.00047113
33423873873.87 0.00046733
33458898898.90 0.00046361
33493923923.92 0.00045997
33528948948.95 0.00045642
33563973973.97 0.00045298
33598998999.00 0.00044964
33634024024.02 0.00044642
33669049049.05 0.00044332
33704074074.07 0.00044035
33739099099.10 0.00043752
33774124124.12 0.00043483
33809149149.15 0.00043228
33844174174.17 0.00042989
33879199199.20 0.00042766
33914224224.22 0.00042559
33949249249.25 0.00042368
33984274274.27 0.00042195
34019299299.30 0.00042039
34054324324.32 0.00041900
34089349349.35 0.00041780
34124374374.37 0.00041678
34159399399.40 0.00041594
34194424424.42 0.00041528
34229449449.45 0.00041481
34264474474.47 0.00041453
34299499499.50 0.00041444
34334524524.52 0.00041453
34369549549.55 0.00041480
34404574574.57 0.00041526
34439599599.60 0.00041591
34474624624.62 0.00041673
34509649649.65 0.00041773
34544674674.67 0.00041891
34579699699.70 0.00042026
34614724724.72 0.00042177
34649749749.75 0.00042345
34684774774.77 0.00042529
34719799799.80 0.00042729
34754824824.82 0.00042944
34789849849.85 0.00043173
34824874874.87 0.00043417
34859899899.90 0.00043673
34894924924.92 0.00043942
34929949949.95 0.00044224
34964974974.97 0.00044517
35000000000.00 0.00044820
